what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1679975160369
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1679975160369
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1679975160369
os,sysinfo,,,"win32",1679975160371
arch,sysinfo,,,"x86",1679975160371
ws,sysinfo,,,"win32",1679975160371
locale,sysinfo,,,"zh_TW",1679975160371
processors,sysinfo,,,"12",1679975160371
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1679975160371
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1679975160371
java.specification.name,sysinfo,,,"Java Platform API Specification",1679975160371
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1679975160371
java.specification.version,sysinfo,,,"1.6",1679975160371
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1679975160371
java.version,sysinfo,,,"1.6.0_23",1679975160371
java.vm.info,sysinfo,,,"mixed mode",1679975160371
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1679975160371
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1679975160371
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1679975160371
java.vm.specification.version,sysinfo,,,"1.0",1679975160371
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1679975160371
java.vm.version,sysinfo,,,"19.0-b09",1679975160371
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1679975160822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1679975182945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1679976918230
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1679976920990
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1679976921042
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1679976921338
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1679976921509
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1680072278954
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1680072278955
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1680072278956
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1680072278956
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1680072278956
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1680072278957
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1680072278957
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1680072278957
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1680072278957
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1680072278958
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1680072278958
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1680072278958
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1680072278958
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1680072278959
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1680072278959
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1680072278959
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1680072278959
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1680072278959
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1680072278960
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1680072278960
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1680072278960
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1680072278960
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1680072278961
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1680072278961
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1680072278961
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1680072278962
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1680072278962
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1680072278962
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1680072278962
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1680072278963
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1680072278963
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1680072278964
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1680072278964
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1680072278964
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1680072278964
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1680072278965
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1680072278965
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1680072278965
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1680072278965
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1680072278966
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1680072278966
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1680072278966
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1680072278966
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1680072278966
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1680072278966
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1680072278968
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1680072278968
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1680072278968
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1680072278968
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1680072278969
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1680072279025
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1680072279025
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1680072279025
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1680072279026
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1680072279026
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1680072279026
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1680072279026
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1680072279026
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1680072279028
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1680072279028
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1680072279029
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1680072279029
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1680072279029
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1680072279029
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1680072279030
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1680072279030
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1680072279030
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1680072279031
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1680072279031
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1680072279032
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1680072279032
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1680072279033
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1680072279034
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1680072279034
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1680072279035
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1680072279035
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1680072279035
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1680072279036
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1680072279037
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1680072279037
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1680072279037
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1680072279037
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1680072279038
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1680072279038
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1680072279038
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1680072279048
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1680072279054
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1680072279055
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1680072279055
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1680072279055
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1680072279055
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1680072279056
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1680072279056
os,sysinfo,,,"win32",1680072279057
arch,sysinfo,,,"x86",1680072279057
ws,sysinfo,,,"win32",1680072279057
locale,sysinfo,,,"zh_TW",1680072279057
processors,sysinfo,,,"12",1680072279057
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1680072279057
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1680072279057
java.specification.name,sysinfo,,,"Java Platform API Specification",1680072279057
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1680072279057
java.specification.version,sysinfo,,,"1.6",1680072279057
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1680072279057
java.version,sysinfo,,,"1.6.0_23",1680072279057
java.vm.info,sysinfo,,,"mixed mode",1680072279057
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1680072279057
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1680072279057
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1680072279057
java.vm.specification.version,sysinfo,,,"1.0",1680072279057
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1680072279057
java.vm.version,sysinfo,,,"19.0-b09",1680072279057
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1680072279135
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1680072279706
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1680072305310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1680072307445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1680072317162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1680072317455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1680072349441
